image_filename,labels
mnist_cls_train/0/57053.png,0
mnist_cls_train/0/21658.png,0
mnist_cls_train/0/12554.png,0
mnist_cls_train/0/52409.png,0
mnist_cls_train/0/26366.png,0
mnist_cls_train/0/49459.png,0
mnist_cls_train/0/11077.png,0
mnist_cls_train/0/51889.png,0
mnist_cls_train/0/58668.png,0
mnist_cls_train/0/34656.png,0
mnist_cls_train/0/12142.png,0
mnist_cls_train/0/39606.png,0
mnist_cls_train/0/43088.png,0
mnist_cls_train/0/17214.png,0
mnist_cls_train/0/15761.png,0
mnist_cls_train/0/22938.png,0
mnist_cls_train/0/13921.png,0
mnist_cls_train/0/43265.png,0
mnist_cls_train/0/30787.png,0
mnist_cls_train/0/17187.png,0
mnist_cls_train/0/44448.png,0
mnist_cls_train/0/21497.png,0
mnist_cls_train/0/40266.png,0
mnist_cls_train/0/56404.png,0
mnist_cls_train/0/52396.png,0
mnist_cls_train/0/2528.png,0
mnist_cls_train/0/15753.png,0
mnist_cls_train/0/9857.png,0
mnist_cls_train/0/57558.png,0
mnist_cls_train/0/36031.png,0
mnist_cls_train/0/16474.png,0
mnist_cls_train/0/16518.png,0
mnist_cls_train/0/33293.png,0
mnist_cls_train/0/41588.png,0
mnist_cls_train/0/19189.png,0
mnist_cls_train/0/49497.png,0
mnist_cls_train/0/47822.png,0
mnist_cls_train/0/27638.png,0
mnist_cls_train/0/6065.png,0
mnist_cls_train/0/31661.png,0
mnist_cls_train/0/15566.png,0
mnist_cls_train/0/57686.png,0
mnist_cls_train/0/11172.png,0
mnist_cls_train/0/50749.png,0
mnist_cls_train/0/51809.png,0
mnist_cls_train/0/27894.png,0
mnist_cls_train/0/8250.png,0
mnist_cls_train/0/11036.png,0
mnist_cls_train/0/15471.png,0
mnist_cls_train/0/20584.png,0
mnist_cls_train/0/20085.png,0
mnist_cls_train/0/41117.png,0
mnist_cls_train/0/21703.png,0
mnist_cls_train/0/44862.png,0
mnist_cls_train/0/13916.png,0
mnist_cls_train/0/56332.png,0
mnist_cls_train/0/11657.png,0
mnist_cls_train/0/10505.png,0
mnist_cls_train/0/33142.png,0
mnist_cls_train/0/40586.png,0
mnist_cls_train/0/49011.png,0
mnist_cls_train/0/8046.png,0
mnist_cls_train/0/55805.png,0
mnist_cls_train/0/20418.png,0
mnist_cls_train/0/34051.png,0
mnist_cls_train/0/59288.png,0
mnist_cls_train/0/22860.png,0
mnist_cls_train/0/33831.png,0
mnist_cls_train/0/27200.png,0
mnist_cls_train/0/45442.png,0
mnist_cls_train/0/5583.png,0
mnist_cls_train/0/21971.png,0
mnist_cls_train/0/33465.png,0
mnist_cls_train/0/8249.png,0
mnist_cls_train/0/7358.png,0
mnist_cls_train/0/56674.png,0
mnist_cls_train/0/4289.png,0
mnist_cls_train/0/26820.png,0
mnist_cls_train/0/30051.png,0
mnist_cls_train/0/26408.png,0
mnist_cls_train/0/17048.png,0
mnist_cls_train/0/35742.png,0
mnist_cls_train/0/22886.png,0
mnist_cls_train/0/34731.png,0
mnist_cls_train/0/35816.png,0
mnist_cls_train/0/11105.png,0
mnist_cls_train/0/1028.png,0
mnist_cls_train/0/43847.png,0
mnist_cls_train/0/21199.png,0
mnist_cls_train/0/44045.png,0
mnist_cls_train/0/2411.png,0
mnist_cls_train/0/6320.png,0
mnist_cls_train/0/43188.png,0
mnist_cls_train/0/33192.png,0
mnist_cls_train/0/51826.png,0
mnist_cls_train/0/42153.png,0
mnist_cls_train/0/46144.png,0
mnist_cls_train/0/46139.png,0
mnist_cls_train/0/53789.png,0
mnist_cls_train/0/30473.png,0
mnist_cls_train/0/1590.png,0
mnist_cls_train/0/47167.png,0
mnist_cls_train/0/13211.png,0
mnist_cls_train/0/22658.png,0
mnist_cls_train/0/46479.png,0
mnist_cls_train/0/23943.png,0
mnist_cls_train/0/38179.png,0
mnist_cls_train/0/28771.png,0
mnist_cls_train/0/47452.png,0
mnist_cls_train/0/49780.png,0
mnist_cls_train/0/4889.png,0
mnist_cls_train/0/45812.png,0
mnist_cls_train/0/49110.png,0
mnist_cls_train/0/4310.png,0
mnist_cls_train/0/3490.png,0
mnist_cls_train/0/8894.png,0
mnist_cls_train/0/6923.png,0
mnist_cls_train/0/7786.png,0
mnist_cls_train/0/46947.png,0
mnist_cls_train/0/35431.png,0
mnist_cls_train/0/818.png,0
